BGP router identifier 10.10.10.47, local AS number 65001
BGP table version is 1, main routing table version 1

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
10.10.10.1      4        65001     256     257        1    0    0 00:40:30        0
10.10.10.2      4        65001     256     255        1    0    0 00:40:21        0
10.10.10.3      4        65001     254     256        1    0    0 00:40:18        0
10.10.10.4      4        65001       0       0        1    0    0 never    Idle
10.10.10.5      4        65001     256     257        1    0    0 00:40:23        0
10.10.10.6      4        65001     256     257        1    0    0 00:40:20        0
10.10.10.7      4        65001       0       0        1    0    0 00:00:02 Idle
10.10.10.8      4        65001     255     255        1    0    0 00:40:22        0
10.10.10.9      4        65001     257     256        1    0    0 00:40:30        0
10.10.10.10     4        65001     255     256        1    0    0 00:40:28        0
10.10.10.11     4        65001     258     257        1    0    0 00:40:33        0
10.10.10.12     4        65001     257     258        1    0    0 00:40:30        0
10.10.10.13     4        65001     259     258        1    0    0 00:40:42        0
10.10.10.14     4        65001     261     259        1    0    0 00:40:36        0
10.10.10.15     4        65001     257     256        1    0    0 00:40:29        0
10.10.10.16     4        65001     260     257        1    0    0 00:40:38        0
10.10.10.17     4        65001     260     260        1    0    0 00:40:36        0
10.10.10.18     4        65001     259     258        1    0    0 00:40:44        0
10.10.10.19     4        65001     260     260        1    0    0 00:40:40        0
10.10.10.20     4        65001     259     259        1    0    0 00:40:42        0
10.10.10.21     4        65001     259     260        1    0    0 00:40:45        0
10.10.10.22     4        65001     258     258        1    0    0 00:40:41        0
10.10.10.23     4        65001     258     258        1    0    0 00:40:39        0
10.10.10.24     4        65001     256     258        1    0    0 00:40:37        0
10.10.10.25     4        65001     258     259        1    0    0 00:40:32        0
10.10.10.26     4        65001     258     259        1    0    0 00:40:35        0
10.10.10.27     4        65001     256     258        1    0    0 00:40:35        0
10.10.10.28     4        65001       0       0        1    0    0 never    Idle
10.10.10.29     4        65001     257     257        1    0    0 00:40:28        0
10.10.10.30     4        65001     258     257        1    0    0 00:40:32        0
10.10.10.31     4        65001     257     256        1    0    0 00:40:35        0
10.10.10.32     4        65001     255     257        1    0    0 00:40:33        0
10.10.10.33     4        65001     258     256        1    0    0 00:40:34        0
10.10.10.34     4        65001     259     258        1    0    0 00:40:42        0
10.10.10.35     4        65001     259     258        1    0    0 00:40:36        0
10.10.10.36     4        65001     257     257        1    0    0 00:40:30        0
10.10.10.37     4        65001     258     258        1    0    0 00:40:28        0
10.10.10.38     4        65001     259     258        1    0    0 00:40:37        0
10.10.10.39     4        65001     260     259        1    0    0 00:40:30        0
10.10.10.40     4        65001     258     256        1    0    0 00:40:34        0
10.10.10.41     4        65001     257     257        1    0    0 00:40:42        0
10.10.10.42     4        65001     259     258        1    0    0 00:40:41        0
10.10.10.43     4        65001     258     258        1    0    0 00:40:37        0
10.10.10.44     4        65001     259     259        1    0    0 00:40:39        0
10.10.10.45     4        65001     258     258        1    0    0 00:40:37        0
10.10.10.46     4        65001     258     258        1    0    0 00:40:40        0
10.10.10.48     4        65001     259     257        1    0    0 00:40:34        0
10.10.10.49     4        65001     257     260        1    0    0 00:40:34        0
10.10.10.50     4        65001     257     257        1    0    0 00:40:30        0
